Year,Month,Day,Hour,Week,Consumption
2022,2,3,19,5,13214.158
2022,2,3,20,5,13247.078
2022,2,3,21,5,13008.856
2022,2,3,22,5,12488.789
2022,2,3,23,5,12504.638
2022,2,3,24,5,12372.638
2022,2,4,1,5,11917.873
2022,2,4,2,5,11601.481
2022,2,4,3,5,11458.015
2022,2,4,4,5,11395.433
2022,2,4,5,5,11491.493
2022,2,4,6,5,11853.604
2022,2,4,7,5,12562.71
2022,2,4,8,5,12901.393
2022,2,4,9,5,12991.837
2022,2,4,10,5,13122.089
2022,2,4,11,5,13045.705
2022,2,4,12,5,12977.64
2022,2,4,13,5,12888.866
2022,2,4,14,5,12747.176
2022,2,4,15,5,12657.127
2022,2,4,16,5,12518.288
2022,2,4,17,5,12578.141
2022,2,4,18,5,12881.893
2022,2,4,19,5,12860.636
2022,2,4,20,5,12772.524
2022,2,4,21,5,12396.066
2022,2,4,22,5,11907.129
2022,2,4,23,5,11912.892
2022,2,4,24,5,11565.9
2022,2,5,1,5,11106.917
2022,2,5,2,5,10739.333
2022,2,5,3,5,10540.562
2022,2,5,4,5,10361.093
2022,2,5,5,5,10320.541
2022,2,5,6,5,10377.637
2022,2,5,7,5,10609.264
2022,2,5,8,5,10675.518
2022,2,5,9,5,10778.068
2022,2,5,10,5,10949.102
2022,2,5,11,5,11129.502
2022,2,5,12,5,11200.564
2022,2,5,13,5,11210.479
2022,2,5,14,5,11155.457
2022,2,5,15,5,11119.88
2022,2,5,16,5,11141.603
2022,2,5,17,5,11284.667
2022,2,5,18,5,11819.075
2022,2,5,19,5,12006.564
2022,2,5,20,5,11877.785
2022,2,5,21,5,11492.174
2022,2,5,22,5,10958.392
2022,2,5,23,5,11020.579
2022,2,5,24,5,10850.851
2022,2,6,1,5,10368.255
2022,2,6,2,5,10055.67
2022,2,6,3,5,9953.585
2022,2,6,4,5,9825.117
